"Date","Open","High","Low","Close","Volume","Ticker","Period","Sector","logReturn"
"2022-06-01T05:00:00.000Z",151.75,157.27000427246094,129.4499969482422,148.77000427246094,19769049,"AWK","monthly","Utilities","-0.016532579023233962"
"2022-07-01T05:00:00.000Z",149.52000427246094,157.36500549316406,143.32000732421875,155.44000244140625,15175865,"AWK","monthly","Utilities","0.0438583028878898"
"2022-08-01T05:00:00.000Z",154.74000549316406,159.9499969482422,148.30999755859375,148.4499969482422,14111984,"AWK","monthly","Utilities","-0.0460116401233174"
"2022-09-01T05:00:00.000Z",148.4499969482422,157.10000610351562,129.91000366210938,130.16000366210938,16003560,"AWK","monthly","Utilities","-0.13148368960606327"
"2022-10-03T05:00:00.000Z",132.41000366210938,146.0800018310547,122.7699966430664,145.33999633789062,20893516,"AWK","monthly","Utilities","0.11031130894541934"
"2022-11-01T05:00:00.000Z",147.6199951171875,153.3699951171875,135.61000061035156,151.75999450683594,18507262,"AWK","monthly","Utilities","0.043224489438723604"
"2022-12-01T05:00:00.000Z",153.5,161.91000366210938,149.08999633789062,152.4199981689453,15008357,"AWK","monthly","Utilities","0.004339566794384587"
"2023-01-03T05:00:00.000Z",153.77000427246094,162.38999938964844,148.16000366210938,156.49000549316406,14645589,"AWK","monthly","Utilities","0.026352289052659295"
"2023-02-01T05:00:00.000Z",155.97000122070312,162.58999633789062,138.50999450683594,140.3800048828125,22166871,"AWK","monthly","Utilities","-0.10863907919231626"
"2023-03-01T05:00:00.000Z",136.8000030517578,147.25,132.8699951171875,146.49000549316406,39391165,"AWK","monthly","Utilities","0.04260413815514146"
"2023-04-03T05:00:00.000Z",145.05999755859375,153.42999267578125,144.00999450683594,148.25,15402540,"AWK","monthly","Utilities","0.01194283363759685"
"2023-05-01T05:00:00.000Z",148.1300048828125,151.24000549316406,140.49000549316406,144.4499969482422,18439703,"AWK","monthly","Utilities","-0.02596663209233233"
"2023-06-01T05:00:00.000Z",144.4499969482422,150.02499389648438,139.00999450683594,142.75,22259596,"AWK","monthly","Utilities","-0.01183855724938302"
"2023-07-03T05:00:00.000Z",142.50999450683594,151.22000122070312,139.7100067138672,147.42999267578125,17767561,"AWK","monthly","Utilities","0.032258588646310475"
"2023-08-01T05:00:00.000Z",147.16000366210938,147.61500549316406,136.5800018310547,138.74000549316406,19498609,"AWK","monthly","Utilities","-0.06075171963205059"
"2023-09-01T05:00:00.000Z",139.57000732421875,141.14999389648438,122.27200317382812,123.83000183105469,21833389,"AWK","monthly","Utilities","-0.11369204553653024"
"2023-10-02T05:00:00.000Z",123,123.33499908447266,114.25,117.6500015258789,16904499,"AWK","monthly","Utilities","-0.051195543870831604"
"2023-11-01T05:00:00.000Z",117.58999633789062,133,116.05999755859375,131.83999633789062,25725646,"AWK","monthly","Utilities","0.11387491024122151"
"2023-12-01T05:00:00.000Z",131.57000732421875,137.42999267578125,129.77000427246094,131.99000549316406,18298643,"AWK","monthly","Utilities","0.0011371653746552165"
"2024-01-02T05:00:00.000Z",131.19000244140625,134.77999877929688,121.37999725341797,124.0199966430664,20096379,"AWK","monthly","Utilities","-0.06228338790484221"
"2024-02-01T05:00:00.000Z",123.86000061035156,125.36000061035156,116.69999694824219,118.54000091552734,32219403,"AWK","monthly","Utilities","-0.045192351770998014"
"2024-03-01T05:00:00.000Z",118.18000030517578,122.41000366210938,116.37999725341797,122.20999908447266,23597808,"AWK","monthly","Utilities","0.03049040487542757"
"2024-04-01T05:00:00.000Z",122.44000244140625,123.0979995727539,113.33999633789062,122.31999969482422,32860177,"AWK","monthly","Utilities","0.0008996901674283069"
"2024-05-01T05:00:00.000Z",122.12000274658203,135.7100067138672,122.08999633789062,130.77000427246094,31192362,"AWK","monthly","Utilities","0.06679952846406816"
"2024-06-03T05:00:00.000Z",131.1300048828125,133.35000610351562,127.0999984741211,129.16000366210938,19087887,"AWK","monthly","Utilities","-0.012388113346626315"
"2024-07-01T05:00:00.000Z",129.47999572753906,144.3000030517578,127.19999694824219,142.36000061035156,18090379,"AWK","monthly","Utilities","0.09730709068602089"
"2024-08-01T05:00:00.000Z",142.99000549316406,149,138.88999938964844,143.1199951171875,18938315,"AWK","monthly","Utilities","0.005324340154177886"
"2024-09-03T05:00:00.000Z",142.85000610351562,150.67999267578125,142.52000427246094,146.24000549316406,22343994,"AWK","monthly","Utilities","0.021565740184952914"
"2024-10-01T05:00:00.000Z",146.47000122070312,147.2100067138672,133.60000610351562,138.11000061035156,20074172,"AWK","monthly","Utilities","-0.05719867175935175"
"2024-11-01T05:00:00.000Z",138.35000610351562,139.5800018310547,131.57000732421875,136.94000244140625,9883792,"AWK","monthly","Utilities","-0.008507581987943836"
