"Date","Open","High","Low","Close","Volume","Ticker","Period","Sector","logReturn"
"2022-06-01T05:00:00.000Z",147.7899932861328,156.6199951171875,135.75999450683594,153.16000366210938,132594299,"ABBV","monthly","PharmaceuticalsBiotechnologyAndLifeSciences","0.03853675242728925"
"2022-07-01T05:00:00.000Z",153.0800018310547,155.25,139.0500030517578,143.50999450683594,116519638,"ABBV","monthly","PharmaceuticalsBiotechnologyAndLifeSciences","-0.0650784696138263"
"2022-08-01T05:00:00.000Z",141.50999450683594,143.97999572753906,134.1699981689453,134.4600067138672,109509424,"ABBV","monthly","PharmaceuticalsBiotechnologyAndLifeSciences","-0.06513787393265102"
"2022-09-01T05:00:00.000Z",134.63999938964844,145.5399932861328,134.08999633789062,134.2100067138672,125558455,"ABBV","monthly","PharmaceuticalsBiotechnologyAndLifeSciences","-0.0018610195381649267"
"2022-10-03T05:00:00.000Z",135.8800048828125,153.99000549316406,135.30599975585938,146.39999389648438,114547120,"ABBV","monthly","PharmaceuticalsBiotechnologyAndLifeSciences","0.08693677240172767"
"2022-11-01T05:00:00.000Z",146.66000366210938,161.17999267578125,143.02999877929688,161.17999267578125,113847877,"ABBV","monthly","PharmaceuticalsBiotechnologyAndLifeSciences","0.09617914761859628"
"2022-12-01T05:00:00.000Z",161,167.75,159.82000732421875,161.61000061035156,102509521,"ABBV","monthly","PharmaceuticalsBiotechnologyAndLifeSciences","0.002664321682120186"
"2023-01-03T05:00:00.000Z",162.0399932861328,168.11000061035156,144.41000366210938,147.75,119769796,"ABBV","monthly","PharmaceuticalsBiotechnologyAndLifeSciences","-0.08966437285103877"
"2023-02-01T05:00:00.000Z",146.6300048828125,154.7449951171875,143.44000244140625,153.89999389648438,119527203,"ABBV","monthly","PharmaceuticalsBiotechnologyAndLifeSciences","0.04078134489965414"
"2023-03-01T05:00:00.000Z",152.75999450683594,159.6999969482422,146.5749969482422,159.3699951171875,153989811,"ABBV","monthly","PharmaceuticalsBiotechnologyAndLifeSciences","0.03492551104746386"
"2023-04-03T05:00:00.000Z",158.25,166.1999969482422,147.16000366210938,151.1199951171875,99800299,"ABBV","monthly","PharmaceuticalsBiotechnologyAndLifeSciences","-0.053154321350901285"
"2023-05-01T05:00:00.000Z",150.83999633789062,155.02000427246094,135.25,137.9600067138672,120462527,"ABBV","monthly","PharmaceuticalsBiotechnologyAndLifeSciences","-0.09111035414846809"
"2023-06-01T05:00:00.000Z",135.25999450683594,139.6699981689453,130.9600067138672,134.72999572753906,135607792,"ABBV","monthly","PharmaceuticalsBiotechnologyAndLifeSciences","-0.02369109267748191"
"2023-07-03T05:00:00.000Z",134,151.75999450683594,132.6999969482422,149.5800018310547,119863991,"ABBV","monthly","PharmaceuticalsBiotechnologyAndLifeSciences","0.10455863494835387"
"2023-08-01T05:00:00.000Z",150,153.60000610351562,145.94000244140625,146.9600067138672,89768321,"ABBV","monthly","PharmaceuticalsBiotechnologyAndLifeSciences","-0.017670892412962068"
"2023-09-01T05:00:00.000Z",147.36000061035156,154.8800048828125,143.74000549316406,149.05999755859375,85059957,"ABBV","monthly","PharmaceuticalsBiotechnologyAndLifeSciences","0.014188406482999958"
"2023-10-02T05:00:00.000Z",148.47000122070312,150.39999389648438,136.02999877929688,141.17999267578125,110955352,"ABBV","monthly","PharmaceuticalsBiotechnologyAndLifeSciences","-0.05431327298612736"
"2023-11-01T05:00:00.000Z",141.86000061035156,143.8000030517578,135.85000610351562,142.38999938964844,74223123,"ABBV","monthly","PharmaceuticalsBiotechnologyAndLifeSciences","0.00853414741768664"
"2023-12-01T05:00:00.000Z",142.52000427246094,155.85000610351562,142.33999633789062,154.97000122070312,65912121,"ABBV","monthly","PharmaceuticalsBiotechnologyAndLifeSciences","0.08466179016984675"
"2024-01-02T05:00:00.000Z",154.89999389648438,167.77000427246094,154.77000427246094,164.39999389648438,82509001,"ABBV","monthly","PharmaceuticalsBiotechnologyAndLifeSciences","0.059070887819799155"
"2024-02-01T05:00:00.000Z",163.6999969482422,179.75,162.6699981689453,176.0500030517578,52735648,"ABBV","monthly","PharmaceuticalsBiotechnologyAndLifeSciences","0.06846561743959843"
"2024-03-01T05:00:00.000Z",176.36000061035156,182.88999938964844,175.72999572753906,182.10000610351562,118872690,"ABBV","monthly","PharmaceuticalsBiotechnologyAndLifeSciences","0.03378795731527586"
